resistance,vitesse,satiete,vision,time_lived
-1.534,1.066,-0.064,0.536,117.0
2.567,1.598,0.261,-0.456,137.0
0.68,2.223,1.093,1.005,422.0
0.614,0.042,0.371,0.195,453.0
0.142,2.612,1.742,0.233,630.0
-0.813,0.514,0.43,0.093,180.0
-1.131,-0.525,-0.689,0.138,219.0
-1.134,1.788,-0.494,1.835,240.0
0.194,0.583,-0.564,0.469,329.0
0.416,1.807,-0.89,0.894,288.0
-0.162,0.738,1.086,0.409,260.0
-0.027,0.544,0.433,0.69,229.0
0.229,-0.433,-0.319,1.932,418.0
0.572,2.927,0.109,-0.727,267.0
-0.982,1.324,1.873,3.333,601.0
0.144,0.297,1.513,0.687,509.0
-1.19,-0.172,-0.446,1.028,206.0
-0.732,0.304,-0.419,-0.213,128.0
-0.477,1.944,-0.603,0.884,416.0
0.823,0.827,-0.842,0.318,393.0
0.193,1.025,0.553,1.448,525.0
-1.135,2.237,0.885,-0.452,279.0
-0.726,1.167,1.525,2.023,459.0
-0.025,1.867,1.747,0.404,645.0
0.768,0.14,0.068,1.627,247.0
1.493,0.528,-0.468,1.076,461.0
1.349,-0.502,-2.333,1.568,352.0
-1.031,0.842,2.086,1.245,255.0
-0.601,-0.271,-0.246,2.063,565.0
-0.359,0.524,-2.037,0.101,159.0
0.527,1.548,1.302,0.92,569.0
-1.396,2.208,0.549,0.707,119.0
-1.729,0.053,-0.412,-0.388,87.0
-0.012,1.085,-1.106,0.489,201.0
-0.328,1.56,-0.765,1.681,225.0
-2.0,1.192,-0.233,0.044,82.0
-1.227,-0.894,-0.545,1.741,328.0
2.057,-1.792,1.388,-0.171,281.0
-0.383,0.012,-0.868,0.547,372.0
1.225,0.247,-0.121,3.304,655.0
0.133,0.605,0.866,-0.307,182.0
0.012,2.456,-0.02,2.149,637.0
0.061,0.048,0.466,1.052,237.0
-0.806,0.637,0.626,-0.555,169.0
0.243,0.577,-0.808,0.633,350.0
0.036,0.743,1.163,2.571,418.0
1.937,0.202,1.15,1.997,397.0
-0.706,1.942,0.373,0.389,150.0
0.193,0.369,0.39,0.352,183.0
0.414,2.024,-0.873,1.063,458.0
1.01,0.987,-0.788,-0.288,152.0
-0.575,-0.167,-0.596,0.992,179.0
-1.888,-0.229,1.165,0.35,181.0
-0.73,0.072,-0.763,1.037,173.0
-1.264,3.124,0.207,0.535,233.0
1.116,0.208,-1.932,-0.162,300.0
-0.694,0.819,-0.446,-1.082,129.0
-1.41,0.061,-0.111,0.361,105.0
-0.362,0.298,-1.218,-0.877,155.0
-0.75,2.635,-0.094,1.381,414.0
-0.695,0.371,-0.535,2.787,563.0
-0.349,2.358,1.556,1.285,568.0
-0.821,0.09,0.457,-0.399,217.0
0.441,1.457,0.447,1.856,352.0
-1.251,-0.101,1.735,2.34,543.0
-1.021,0.821,-0.397,0.388,176.0
-0.252,0.181,-0.823,1.639,334.0
-0.106,0.74,0.12,2.29,231.0
0.065,-0.311,1.421,3.053,237.0
-0.254,1.488,0.298,1.226,439.0
0.383,2.555,-0.406,1.47,517.0
1.445,3.272,2.358,-0.444,642.0
0.304,2.831,0.64,0.9,554.0
0.201,2.503,0.966,1.252,662.0
-1.365,2.834,0.767,2.817,549.0
0.305,0.587,0.105,2.037,458.0
0.529,-1.635,-0.097,2.463,366.0
1.597,1.896,-1.246,2.201,416.0
-0.873,1.956,0.007,0.864,215.0
-0.635,1.709,0.645,0.788,419.0
0.674,2.168,0.679,1.351,648.0
0.115,1.337,0.333,0.594,377.0
-0.726,0.493,1.086,0.483,290.0
-0.258,0.466,-1.417,0.452,332.0
1.334,0.331,-0.245,1.26,262.0
-0.984,-0.75,0.961,3.274,210.0
1.001,3.17,0.879,0.302,499.0
